หน่วยงาน/โครงการ,ชื่อผู้รับเหมา,ตำแหน่งงาน
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,คนขับรถกระบะ
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,คนขับรถกระบะบรรทุก
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,คนขับรถเทลเลอร์
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,คนขับรถบรรทุกติดเครน
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างเชื่อม
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างซ่อมเครื่องมือเครื่องใช้ไฟฟ้า
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างซ่อมอุปกรณ์ก่อสร้าง
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,พนักงานขับรถดูดฝุ่น
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,พนักงานขับรถยก
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,พนักงานควบคุมปั๊มคอนกรีต
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,พนักงานบริการงานทาวเวอร์เครน
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,พนักงานบังคับทาวเวอร์เครน
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,พนักงานรักษาความปลอดภัย(รปภ)
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,แม่บ้าน
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สโตร์
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,Head Man บริการ
