ชื่อผู้รับเหมา,ตำแหน่งงาน,หน่วยงาน/โครงการ,จำนวนรวม,สัญชาติไทย,สัญชาติกัมพูชา,สัญชาติลาว,สัญชาติเมียนมาร์,จำนวนแรงงานผิดกฎหมาย,หมายเหตุ,วันที่บันทึกข้อมูล
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์,The Base เพชรบุรี-ทองหล่อ,3,0,0,1,2,0,,2025-08-22 00:00:00
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์,The Base เพชรบุรี-ทองหล่อ,0,0,0,0,0,0,,2025-09-18 09:23:03
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร,Rich Point@BTS Wutthakat,3,0,0,0,3,0,,2025-11-07 10:59:41
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสกิมโค้ทและงานสี,Rich Point@BTS Wutthakat,4,0,0,0,4,0,,2025-11-07 10:59:41
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซฟตี้,Rich Point@BTS Wutthakat,4,0,0,0,4,0,,2025-11-07 10:59:41
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร,Rich Point@BTS Wutthakat,3,0,0,0,3,0,,2025-11-07 11:06:12
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสกิมโค้ทและงานสี,Rich Point@BTS Wutthakat,4,0,0,0,4,0,,2025-11-07 11:06:12
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซฟตี้,Rich Point@BTS Wutthakat,4,0,0,0,4,0,,2025-11-07 11:06:12
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร,Rich Point@BTS Wutthakat,3,0,0,0,3,0,,2025-11-13 08:28:13
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสกิมโค้ทและงานสี,Rich Point@BTS Wutthakat,4,0,0,0,4,0,,2025-11-13 08:28:13
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซฟตี้,Rich Point@BTS Wutthakat,4,0,0,0,4,0,,2025-11-13 08:28:13
นางอรัญญา กลัดเข็มทอง (สันติ),งานไฟฟ้า,Sukhumvit 29 Hotel,3,0,0,3,0,3,,2025-12-04 15:42:59
หจก.จิตติพัฒน์ เจริญทรัพย์,เก็บงาน QC,Sukhumvit 29 Hotel,4,0,0,0,4,3,,2025-12-04 15:42:59
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร,S'RIN Ratchaphruek Sai1,3,2,0,0,1,0,,2025-12-04 15:46:02
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสกิมโค้ทและงานสี,S'RIN Ratchaphruek Sai1,2,0,0,0,2,0,,2025-12-04 15:46:02
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สโตร์,S'RIN Ratchaphruek Sai1,1,1,0,0,0,0,,2025-12-04 15:46:02
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,Head Man งานสถาปัตย์,S'RIN Ratchaphruek Sai1,4,1,0,0,3,0,,2025-12-04 15:46:02
นายสุพจน์ แสงคำสัตย์,งานก่อ-ฉาบ,Baan Sansiri Bangna,14,0,0,0,14,14,,2025-12-11 09:33:59
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานเชฟตี้,Baan Sansiri Bangna,5,0,0,0,5,0,,2025-12-11 09:33:59
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานระบบไฟฟ้าประปา,Baan Sansiri Bangna,2,0,0,0,2,0,,2025-12-11 09:33:59
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสโตร์,Baan Sansiri Bangna,4,0,0,0,4,0,,2025-12-11 09:33:59
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์,Baan Sansiri Bangna,9,0,0,0,9,0,,2025-12-11 09:33:59
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสำรวจ,Baan Sansiri Bangna,2,1,0,0,1,0,,2025-12-11 09:33:59
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,บริการ,Baan Sansiri Bangna,2,2,0,0,0,0,,2025-12-11 09:33:59
TEXCA WALL(SIAMESE ECOLITE CO.LTD),งานติดต้ังแผ่น PRECAST,Baan Sansiri Bangna,25,3,0,0,22,22,,2025-12-11 09:33:59
บจก.พีพีคอนสตรัคชั่น ชุมแพ,ช่างเชื่อม,THYME,6,6,0,0,0,0,,2025-12-11 09:39:51
บจก.พีรญา ก่อสร้าง,งานสถาปัตย์,THYME,23,0,0,0,23,4,,2025-12-11 09:39:51
บจก.รอยยิ้มนักสู้ คอนสตรัคชั่น,งานโครงสร้าง,THYME,9,1,0,0,8,7,,2025-12-11 09:39:51
